DATE,WDDNS
1996-03-04,400.0
1996-03-11,395.5
1996-03-18,399.9
1996-03-25,388.9
1996-04-01,402.1
1996-04-08,410.1
1996-04-15,415.2
1996-04-22,404.0
1996-04-29,391.3
1996-05-06,404.0
1996-05-13,397.4
1996-05-20,400.9
1996-05-27,389.7
1996-06-03,412.5
1996-06-10,412.1
1996-06-17,414.3
1996-06-24,397.2
1996-07-01,414.4
1996-07-08,418.7
1996-07-15,413.8
1996-07-22,405.4
1996-07-29,401.2
1996-08-05,413.9
1996-08-12,409.1
1996-08-19,406.1
1996-08-26,393.7
1996-09-02,401.8
1996-09-09,416.4
1996-09-16,409.6
1996-09-23,393.6
1996-09-30,397.5
1996-10-07,403.5
1996-10-14,401.7
1996-10-21,400.3
1996-10-28,389.9
1996-11-04,405.5
1996-11-11,402.8
1996-11-18,413.5
1996-11-25,402.2
1996-12-02,420.4
1996-12-09,414.2
1996-12-16,418.7
1996-12-23,420.7
1996-12-30,422.3
1997-01-06,432.2
1997-01-13,412.2
1997-01-20,403.4
1997-01-27,390.2
1997-02-03,397.5
1997-02-10,394.3
1997-02-17,395.1
1997-02-24,388.6
1997-03-03,396.5
1997-03-10,394.9
1997-03-17,397.9
1997-03-24,387.0
1997-03-31,402.4
1997-04-07,405.5
1997-04-14,401.1
1997-04-21,401.7
1997-04-28,384.3
1997-05-05,392.5
1997-05-12,386.7
1997-05-19,388.5
1997-05-26,381.6
1997-06-02,400.3
1997-06-09,396.4
1997-06-16,399.8
1997-06-23,387.1
1997-06-30,401.1
1997-07-07,410.8
1997-07-14,400.7
1997-07-21,394.4
1997-07-28,388.9
1997-08-04,406.0
1997-08-11,398.3
1997-08-18,403.4
1997-08-25,395.3
1997-09-01,403.0
1997-09-08,399.0
1997-09-15,391.8
1997-09-22,380.2
1997-09-29,384.1
1997-10-06,396.7
1997-10-13,384.8
1997-10-20,389.7
1997-10-27,379.0
1997-11-03,401.7
1997-11-10,392.5
1997-11-17,397.7
1997-11-24,392.9
1997-12-01,412.0
1997-12-08,399.4
1997-12-15,406.7
1997-12-22,413.6
1997-12-29,421.4
1998-01-05,436.0
1998-01-12,397.9
1998-01-19,390.0
1998-01-26,382.1
1998-02-02,389.4
1998-02-09,381.4
1998-02-16,383.9
1998-02-23,382.6
1998-03-02,391.5
1998-03-09,385.0
1998-03-16,389.4
1998-03-23,378.9
1998-03-30,382.6
1998-04-06,395.5
1998-04-13,392.3
1998-04-20,396.2
1998-04-27,377.7
1998-05-04,387.0
1998-05-11,377.9
1998-05-18,385.4
1998-05-25,372.8
1998-06-01,390.7
1998-06-08,380.7
1998-06-15,388.1
1998-06-22,374.2
1998-06-29,379.6
1998-07-06,399.7
1998-07-13,374.0
1998-07-20,375.1
1998-07-27,368.8
1998-08-03,387.1
1998-08-10,371.1
1998-08-17,372.8
1998-08-24,368.1
1998-08-31,377.5
1998-09-07,370.2
1998-09-14,374.0
1998-09-21,372.0
1998-09-28,367.1
1998-10-05,381.1
1998-10-12,365.1
1998-10-19,375.5
1998-10-26,370.9
1998-11-02,383.5
1998-11-09,371.7
1998-11-16,381.6
1998-11-23,379.6
1998-11-30,399.6
1998-12-07,383.9
1998-12-14,387.5
1998-12-21,399.1
1998-12-28,401.8
1999-01-04,421.7
1999-01-11,378.7
1999-01-18,374.5
1999-01-25,363.5
1999-02-01,375.4
1999-02-08,357.7
1999-02-15,362.7
1999-02-22,366.3
1999-03-01,370.3
1999-03-08,360.7
1999-03-15,364.8
1999-03-22,364.3
1999-03-29,370.6
1999-04-05,385.1
